	x		e^-x		(e^-x)'
0.0000000000	1.0000000000	-1.0000500017
0.0001000000	0.9999000050	-0.9999500017
0.0002000000	0.9998000200	-0.9998500117
0.0003000000	0.9997000450	-0.9997500317
0.0004000000	0.9996000800	-0.9996500617
0.0005000000	0.9995001250	-0.9995501017
0.0006000000	0.9994001800	-0.9994501516
0.0007000000	0.9993002449	-0.9993502116
0.0008000000	0.9992003199	-0.9992502816
0.0009000000	0.9991004049	-0.9991503616
0.0010000000	0.9990004998	-0.9990504515
0.0011000000	0.9989006048	-0.9989505515
0.0012000000	0.9988007197	-0.9988506614
0.0013000000	0.9987008446	-0.9987507813
0.0014000000	0.9986009795	-0.9986509113
0.0015000000	0.9985011244	-0.9985510512
0.0016000000	0.9984012793	-0.9984512010
0.0017000000	0.9983014442	-0.9983513609
0.0018000000	0.9982016190	-0.9982515308
0.0019000000	0.9981018039	-0.9981517106
0.0020000000	0.9980019987	-0.9980519004
0.0021000000	0.9979022035	-0.9979521002
0.0022000000	0.9978024182	-0.9978523100
0.0023000000	0.9977026430	-0.9977525298
0.0024000000	0.9976028777	-0.9976527595
0.0025000000	0.9975031224	-0.9975529992
0.0026000000	0.9974033771	-0.9974532489
0.0027000000	0.9973036417	-0.9973535086
0.0028000000	0.9972039163	-0.9972537782
0.0029000000	0.9971042009	-0.9971540578
0.0030000000	0.9970044955	-0.9970543474
0.0031000000	0.9969048000	-0.9969546469
0.0032000000	0.9968051145	-0.9968549565
0.0033000000	0.9967054390	-0.9967552759
0.0034000000	0.9966057735	-0.9966556054
0.0035000000	0.9965061179	-0.9965559448
0.0036000000	0.9964064722	-0.9964562942
0.0037000000	0.9963068366	-0.9963566536
0.0038000000	0.9962072109	-0.9962570229
0.0039000000	0.9961075951	-0.9961574022
0.0040000000	0.9960079893	-0.9960577914
0.0041000000	0.9959083935	-0.9959581906
0.0042000000	0.9958088077	-0.9958585998
0.0043000000	0.9957092318	-0.9957590189
0.0044000000	0.9956096658	-0.9956594480
0.0045000000	0.9955101098	-0.9955598870
0.0046000000	0.9954105638	-0.9954603360
0.0047000000	0.9953110277	-0.9953607949
0.0048000000	0.9952115016	-0.9952612638
0.0049000000	0.9951119854	-0.9951617427
0.0050000000	0.9950124792	-0.9950622315
0.0051000000	0.9949129829	-0.9949627302
0.0052000000	0.9948134966	-0.9948632389
0.0053000000	0.9947140202	-0.9947637576
0.0054000000	0.9946145538	-0.9946642862
0.0055000000	0.9945150973	-0.9945648247
0.0056000000	0.9944156508	-0.9944653732
0.0057000000	0.9943162142	-0.9943659316
0.0058000000	0.9942167875	-0.9942665000
0.0059000000	0.9941173708	-0.9941670783
0.0060000000	0.9940179641	-0.9940676666
0.0061000000	0.9939185672	-0.9939682648
0.0062000000	0.9938191803	-0.9938688730
0.0063000000	0.9937198034	-0.9937694910
0.0064000000	0.9936204364	-0.9936701191
0.0065000000	0.9935210793	-0.9935707570
0.0066000000	0.9934217322	-0.9934714049
0.0067000000	0.9933223950	-0.9933720627
0.0068000000	0.9932230677	-0.9932727305
0.0069000000	0.9931237503	-0.9931734082
0.0070000000	0.9930244429	-0.9930740958
0.0071000000	0.9929251455	-0.9929747934
0.0072000000	0.9928258579	-0.9928755009
0.0073000000	0.9927265803	-0.9927762183
0.0074000000	0.9926273126	-0.9926769456
0.0075000000	0.9925280548	-0.9925776829
0.0076000000	0.9924288070	-0.9924784301
0.0077000000	0.9923295691	-0.9923791872
0.0078000000	0.9922303411	-0.9922799542
0.0079000000	0.9921311230	-0.9921807312
0.0080000000	0.9920319148	-0.9920815181
0.0081000000	0.9919327166	-0.9919823149
0.0082000000	0.9918335283	-0.9918831216
0.0083000000	0.9917343499	-0.9917839383
0.0084000000	0.9916351814	-0.9916847648
0.0085000000	0.9915360229	-0.9915856013
0.0086000000	0.9914368742	-0.9914864477
0.0087000000	0.9913377355	-0.9913873040
0.0088000000	0.9912386067	-0.9912881703
0.0089000000	0.9911394878	-0.9911890464
0.0090000000	0.9910403788	-0.9910899324
0.0091000000	0.9909412797	-0.9909908284
0.0092000000	0.9908421905	-0.9908917343
0.0093000000	0.9907431113	-0.9907926501
0.0094000000	0.9906440419	-0.9906935757
0.0095000000	0.9905449824	-0.9905945113
0.0096000000	0.9904459329	-0.9904954568
0.0097000000	0.9903468933	-0.9903964123
0.0098000000	0.9902478635	-0.9902973776
0.0099000000	0.9901488437	-0.9901983528
0.0100000000	0.9900498337	-0.9900993379
0.0101000000	0.9899508337	-0.9900003329
0.0102000000	0.9898518436	-0.9899013378
0.0103000000	0.9897528633	-0.9898023526
0.0104000000	0.9896538930	-0.9897033774
0.0105000000	0.9895549326	-0.9896044120
0.0106000000	0.9894559820	-0.9895054565
0.0107000000	0.9893570414	-0.9894065109
0.0108000000	0.9892581106	-0.9893075752
0.0109000000	0.9891591897	-0.9892086494
0.0110000000	0.9890602788	-0.9891097334
0.0111000000	0.9889613777	-0.9890108274
0.0112000000	0.9888624865	-0.9889119313
0.0113000000	0.9887636052	-0.9888130450
0.0114000000	0.9886647338	-0.9887141687
0.0115000000	0.9885658722	-0.9886153022
0.0116000000	0.9884670206	-0.9885164456
0.0117000000	0.9883681788	-0.9884175989
0.0118000000	0.9882693470	-0.9883187621
0.0119000000	0.9881705250	-0.9882199351
0.0120000000	0.9880717129	-0.9881211181
0.0121000000	0.9879729106	-0.9880223109
0.0122000000	0.9878741183	-0.9879235136
0.0123000000	0.9877753358	-0.9878247262
0.0124000000	0.9876765632	-0.9877259487
0.0125000000	0.9875778005	-0.9876271810
